frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
3150,0.031829,0.048545,-0.002544,-0.000139,0.000824,0.000472,0.017374,-0.024231,0.02544,0.456109,0.114387,0.037683,-0.053804,4.3e-05,0.0242,-0.023402,-1.203347,1.128702,-2.208516,0.330808
3151,0.031825,0.048573,-0.002529,-0.000147,0.000865,0.000495,0.000304,-0.005555,0.0065,0.468356,0.114347,0.038714,-0.054837,0.005944,0.020691,-0.025567,-0.38486,-0.435194,-0.341626,0.358567
3152,0.031814,0.048607,-0.002509,-0.000113,0.000669,0.000384,0.013843,-0.006076,-0.002471,0.479623,0.114358,0.039462,-0.055897,-0.000939,0.015969,-0.028238,-2.620096,3.106791,3.488017,0.364935
3153,0.031808,0.048621,-0.0025,-0.000138,0.000814,0.000466,-0.126959,0.092083,0.073988,0.482236,0.114326,0.0397,-0.05641,-0.00726,0.009477,-0.024341,-0.261159,-0.244036,-0.353661,0.356608
3154,0.031797,0.048654,-0.002481,-0.000148,0.000878,0.000501,-0.058751,0.619809,-0.921695,0.479623,0.11408,0.039969,-0.057405,-0.007645,0.001038,-0.021923,0.066894,0.134456,0.05347,0.313989
3155,0.031786,0.04867,-0.002493,0.000297,-0.001761,-0.001008,-0.047595,0.524988,-0.772575,0.450721,0.113569,0.03992,-0.058295,-0.020754,-0.003213,-0.024319,0.027009,0.148787,-0.030412,0.195113
3156,0.031734,0.048609,-0.002592,-0.000221,0.001861,-0.00609,0.256234,-0.172506,-0.130499,0.39161,0.112637,0.039574,-0.059175,-0.033935,-0.01019,-0.020938,-2.095532,3.67695,3.777655,0.000308
3157,0.031718,0.048577,-0.002668,-0.000194,0.001698,-0.006186,0.05001,-0.54148,-0.382877,0.368912,0.111898,0.039358,-0.059582,-0.040257,-0.009304,-0.020351,0.791384,0.651749,0.230984,-0.089339
3158,0.031718,0.048479,-0.002873,0.000226,-0.000803,-0.007631,0.638821,-0.497789,-0.16151,0.310291,0.110067,0.038817,-0.060119,-0.053204,-0.016509,-0.009494,0.881995,-0.159646,1.143783,-0.228463
3159,0.031751,0.04832,-0.0031,0.001076,-0.006369,-0.003688,0.122857,-0.099623,-0.101556,0.211174,0.107744,0.038211,-0.0603,-0.065676,-0.014296,-0.000195,-1.948381,3.512787,4.42807,-0.304883
3160,0.031761,0.048269,-0.003227,0.000264,-0.001002,-0.007767,0.333922,-0.192037,-0.210107,0.16235,0.106431,0.037946,-0.060267,-0.065469,-0.011125,0.001732,-0.252259,1.268022,1.640402,-0.318109
3161,0.031764,0.048245,-0.003515,0.000185,-0.000537,-0.007507,0.604375,-0.464772,-0.145471,0.095074,0.103597,0.037386,-0.059965,-0.072098,-0.012942,0.008285,0.548987,0.440509,0.384524,-0.356809
3162,0.031753,0.048289,-0.003829,0.000144,-0.000276,-0.007367,0.011888,0.020645,-0.026087,0.060456,0.100721,0.036624,-0.059366,-0.072579,-0.020401,0.018931,0.303599,0.337988,0.309223,-0.39012
3163,0.031719,0.048355,-0.004134,-1.8e-05,0.000693,-0.006803,0.115864,-0.056826,-0.055004,0.037106,0.097941,0.03582,-0.058487,-0.072351,-0.020286,0.026811,0.001844,-0.056659,0.399298,-0.450048
3164,0.031707,0.048384,-0.004279,-0.000878,0.006343,-0.010694,0.374141,-0.202266,-0.141471,0.027635,0.096591,0.035425,-0.057929,-0.072175,-0.022174,0.033442,0.259062,0.393087,0.307459,-0.480257
3165,0.031697,0.048418,-0.004561,1.1e-05,0.000502,-0.006925,0.489324,-0.292753,-0.236837,0.00804,0.093923,0.034702,-0.056573,-0.064907,-0.021254,0.041907,0.624598,0.734049,0.565054,-0.542634
3166,0.031705,0.048476,-0.004853,-1.8e-05,0.000692,-0.00682,0.078086,-0.031354,-0.03582,-0.010085,0.091383,0.03416,-0.054897,-0.062886,-0.011897,0.048069,0.336054,0.49123,0.479176,-0.577088
3167,0.031722,0.048493,-0.004974,0.000724,-0.004261,-0.002532,-0.014201,0.022564,-0.018806,-0.019556,0.090138,0.033975,-0.053893,-0.061606,-0.006746,0.051396,0.174948,0.709876,0.151777,-0.591947
3168,0.031766,0.048515,-0.005139,0.000299,-0.001736,-0.001035,0.000323,0.000899,0.000801,-0.032619,0.088018,0.033836,-0.051789,-0.053035,-0.003768,0.060986,-0.049535,0.520884,-0.292911,-0.625422
3169,0.031813,0.048536,-0.00519,-2.2e-05,0.000147,8.6e-05,0.00038,0.000537,0.000475,-0.038661,0.086187,0.033979,-0.049475,-0.044378,0.002111,0.064369,-2.28386,2.809344,4.157023,-0.636362
3170,0.03184,0.048564,-0.005176,-8.8e-05,0.000529,0.000315,0.000245,0.000369,0.000319,-0.039967,0.084772,0.034223,-0.047048,-0.029628,0.010031,0.060816,0.295137,0.667148,-0.066916,-0.63424
3171,0.031856,0.04858,-0.005163,-9.1e-05,0.000547,0.000326,0.000203,0.000303,0.000257,-0.040131,0.08424,0.034392,-0.045835,-0.022822,0.010046,0.06047,-0.603588,0.739299,1.556488,-0.63228
3172,0.031897,0.0486,-0.005154,2e-06,-9e-06,-6e-06,0.000143,0.0002,0.000171,-0.048295,0.083399,0.034754,-0.043484,-0.016506,0.008155,0.058686,0.048679,0.243766,0.262976,-0.6313
3173,0.031963,0.048615,-0.005156,0.005892,0.000838,1.5e-05,0.002135,-0.015064,0.029358,-0.065604,0.082903,0.035098,-0.041279,-0.009878,0.011339,0.052254,0.371158,0.574523,0.215732,-0.633097
3174,0.032007,0.048621,-0.005156,0.005873,0.000946,7.7e-05,0.002113,-0.01508,0.02933,-0.072952,0.082827,0.035264,-0.040262,0.002217,0.007793,0.049772,-0.215983,1.278715,1.521112,-0.639465
3175,0.032099,0.04864,-0.005152,0.005864,0.000988,0.000101,0.002098,-0.015142,0.029319,-0.08079,0.082976,0.035576,-0.038513,0.007454,0.010851,0.035847,0.22494,0.405289,0.05123,-0.682737
3176,0.03218,0.048669,-0.005148,-1.7e-05,0.000105,6e-05,2.9e-05,4.3e-05,5.5e-05,-0.089118,0.083299,0.035799,-0.037231,0.004469,0.000843,0.030229,0.201368,0.317296,0.155359,-0.74642
