frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
4325,0.052666,0.036907,-0.006361,-0.000732,0.005603,-0.003961,0.036459,-0.007922,0.019168,0.263753,0.108238,0.07012,-0.05849,-0.010514,-0.005063,0.004245,-0.051889,-4.077096,-3.760345,-0.868888
4326,0.052656,0.03691,-0.006358,-1.6e-05,0.000121,9e-05,8e-06,0.002801,-0.004164,0.266856,0.108085,0.06997,-0.058381,-0.005224,-0.005812,0.003931,-0.032167,-0.085315,0.117305,-0.869051
4327,0.052662,0.036907,-0.006349,1e-06,2e-06,2e-06,1e-05,7.1e-05,-9.9e-05,0.282368,0.107635,0.069552,-0.058133,-0.010487,-0.013602,0.006999,-0.073463,0.056637,-0.094079,-0.871501
4328,0.052714,0.036917,-0.006352,0.006394,0.000857,7e-06,0.002069,-0.014517,0.028264,0.29935,0.107197,0.068994,-0.057861,-0.010539,-0.013685,0.00699,-0.068836,-0.165242,-0.034638,-0.810267
4329,0.052747,0.036927,-0.006349,-8.8e-05,0.000717,0.000526,4.5e-05,0.001461,-0.002099,0.31323,0.106968,0.068698,-0.05769,-0.015819,-0.017818,0.011708,-0.108437,-0.036192,-0.233098,-0.712946
4330,0.052774,0.03694,-0.006341,-3e-06,-1e-06,0.0,-0.034381,-0.541799,0.739388,0.341806,0.106492,0.068022,-0.057248,-0.015903,-0.018055,0.011664,-0.099982,-0.288199,-0.479751,-0.551941
4331,0.052682,0.036937,-0.006347,0.0,-9e-06,-4e-06,7.7e-05,0.000168,-0.000146,0.363034,0.10593,0.067173,-0.056725,-0.015871,-0.023854,0.015547,-0.149247,0.08617,-0.164708,-0.447109
4332,0.052519,0.03699,-0.00639,-0.006461,-0.000285,0.000418,-0.001799,0.017826,-0.032501,0.408592,0.105336,0.066223,-0.056065,-0.01033,-0.022539,0.015918,0.299551,-4.153345,-3.771677,-0.368729
4333,0.052416,0.03707,-0.00642,-0.00658,0.000515,0.001009,-0.112736,-1.622622,2.191726,0.436841,0.105091,0.065756,-0.055738,-0.015917,-0.029282,0.019711,-0.130489,0.016506,-0.190484,-0.33852
4334,0.052099,0.03727,-0.006474,-0.006595,0.000919,0.001301,0.010536,0.005892,-0.036053,0.482726,0.104651,0.064821,-0.055105,-0.010411,-0.022974,0.015892,0.599311,-4.721727,-3.508912,-0.090645
4335,0.051665,0.037392,-0.006496,-0.013738,0.006145,-0.002322,0.03516,0.030134,-0.033606,0.499871,0.104372,0.063935,-0.054514,-0.005104,-0.017731,0.011707,0.861191,-3.992073,-3.971407,0.216504
4336,0.051426,0.037444,-0.006484,-0.013844,0.007141,-0.001596,0.030682,0.022698,-0.003707,0.501668,0.10437,0.0635,-0.05424,0.005831,-0.024253,0.014973,-0.561766,-0.36428,-0.488067,0.3215
