frame,SLTx,SLTy,SLTz,SLTTVx,SLTTVy,SLTTVz,SLTRVx,SLTRVy,SLTRVz,SLGA,SRTx,SRTy,SRTz,SRTTVx,SRTTVy,SRTTVz,SRTRVx,SRTRVy,SRTRVz,SRGA
152,0.023622,0.027555,-0.010499,-0.000495,0.002043,-0.006948,0.330083,-0.372072,-0.495173,-0.235426,0.08143,0.047131,-0.029793,-3.1e-05,-0.000176,-6.8e-05,7.6e-05,-3.8e-05,-2.2e-05,-0.179312
153,0.023681,0.027669,-0.010747,-0.000324,0.004219,-0.005225,2.978133,-1.138204,4.138061,-0.457991,0.081428,0.047118,-0.029803,-1.9e-05,-0.000105,-4e-05,-0.000564,0.001904,-0.003845,-0.183394
154,0.023692,0.027977,-0.011019,-0.000557,0.010975,-0.008195,0.086152,0.249498,-0.307032,-0.713704,0.081417,0.047107,-0.029807,-7e-06,-4.5e-05,-1.7e-05,-0.0008,0.002339,-0.004657,-0.18568
155,0.023652,0.028215,-0.011177,-0.00051,0.011698,-0.00759,0.03724,0.191758,-0.292623,-0.826701,0.081412,0.047103,-0.029808,-1e-06,-1.7e-05,-6e-06,3e-06,0.000272,-0.000651,-0.187966
156,0.023576,0.028701,-0.011477,-0.000527,0.011419,-0.007811,0.719076,0.750243,-0.571329,-0.771346,0.081406,0.04709,-0.029808,-7.8e-05,-0.00048,-0.00018,-0.337931,-0.164486,0.968236,-0.19907
157,0.023515,0.029134,-0.011775,-0.000232,0.006095,-0.003581,0.643536,0.741529,-0.366299,-0.788328,0.081392,0.047082,-0.029811,-0.0,1e-06,1e-06,0.000157,-1.4e-05,-0.000222,-0.209684
158,0.023493,0.029297,-0.011878,-0.000248,0.005821,-0.003802,0.022093,0.078824,-0.153993,-0.788818,0.081387,0.047078,-0.029812,-8e-06,-5.2e-05,-1.9e-05,0.000156,-5.6e-05,-7.7e-05,-0.212787
159,0.023493,0.029577,-0.012107,0.006155,0.011014,-0.008585,0.073414,-0.041845,0.062859,-0.796003,0.081381,0.047072,-0.029814,-4.7e-05,-0.000275,-0.000104,0.000106,-4.5e-05,-4.5e-05,-0.214583
160,0.023587,0.029968,-0.012366,-0.000517,0.01149,-0.007718,-0.146866,0.451684,0.127466,-0.796003,0.08138,0.047067,-0.029816,-4e-06,-2.1e-05,-6e-06,7.2e-05,-3.3e-05,-3.1e-05,-0.215399
161,0.023622,0.030122,-0.012514,0.005962,0.008113,-0.010965,-0.057748,0.205528,0.199678,-0.7929,0.08138,0.047063,-0.029818,-1e-05,-5.8e-05,-2.1e-05,5.3e-05,-3.4e-05,-3.7e-05,-0.218175
162,0.023671,0.03014,-0.012963,0.005755,-0.005253,-0.013463,-0.222634,0.564919,0.117785,-0.794043,0.081373,0.047047,-0.029818,-1.5e-05,-8.3e-05,-3.2e-05,5.3e-05,-1e-06,-1.3e-05,-0.222257
163,0.023785,0.030009,-0.013622,0.005276,-0.00324,-0.020519,-0.045716,0.326783,0.363071,-0.79143,0.081368,0.047041,-0.02982,-6.7e-05,-0.00039,-0.000148,2.4e-05,-3.6e-05,0.0,-0.22536
164,0.024003,0.029865,-0.014552,0.005082,-0.006907,-0.023785,-0.296733,0.67161,0.429197,-0.789634,0.081366,0.047024,-0.029817,-0.000145,-0.000842,-0.000323,-0.001128,0.011546,-0.026674,-0.228789
165,0.024143,0.029772,-0.015083,0.00507,-0.007445,-0.024354,-0.209683,0.517771,0.319431,-0.788328,0.081361,0.047021,-0.029823,0.000137,0.004778,-0.0049,0.034461,-0.011539,0.013666,-0.231565
166,0.024424,0.029594,-0.016098,0.004869,-0.001036,-0.027816,-0.226846,0.681222,0.230624,-0.795023,0.081351,0.047011,-0.029821,-8e-05,-0.000461,-0.000178,-0.001216,0.002844,-0.005264,-0.239076
167,0.024725,0.02954,-0.017066,0.005077,0.002234,-0.025139,1.821544,2.643381,-0.515034,-0.802371,0.081329,0.047005,-0.029812,1e-06,1.2e-05,5e-06,-0.000258,0.000781,-0.001535,-0.25018
168,0.024863,0.029568,-0.01752,0.005202,0.00411,-0.023524,-0.223323,0.790609,0.093973,-0.805147,0.081307,0.047004,-0.029812,-4e-06,-1.9e-05,-6e-06,1.5e-05,8.9e-05,-0.000197,-0.254589
169,0.025062,0.02977,-0.018341,0.005451,0.008424,-0.019753,-0.349711,1.15696,0.152547,-0.806617,0.081247,0.047011,-0.029811,-0.000138,-0.000803,-0.000307,-0.001068,0.011438,-0.026449,-0.257365
170,0.025202,0.030056,-0.019051,-0.000959,0.004238,-0.014103,-0.5231,1.551658,0.377716,-0.799922,0.081197,0.046997,-0.029814,-0.000189,-0.0011,-0.000421,3.3e-05,3e-06,-1.4e-05,-0.257692
171,0.025382,0.030377,-0.019557,0.006123,0.009748,-0.009635,-0.429505,1.600077,0.021551,-0.79339,0.081156,0.046967,-0.029829,-0.00019,-0.001106,-0.000425,0.000185,-0.000116,4.4e-05,-0.259161
172,0.025487,0.030593,-0.019727,0.006232,0.011941,-0.007657,-0.574689,1.398327,0.386843,-0.79535,0.081144,0.046944,-0.029838,-0.000246,-0.001428,-0.000551,0.000132,-6.8e-05,-4.1e-05,-0.261447
173,0.025832,0.031088,-0.019939,0.013118,0.014774,-0.005597,-0.733393,0.690307,0.59405,-0.795839,0.081111,0.046906,-0.029851,-0.000198,-0.001153,-0.000445,-0.001021,0.0114,-0.026465,-0.266999
174,0.026458,0.031662,-0.02002,0.020036,0.019803,-0.001609,-0.409649,1.525089,0.873438,-0.79388,0.081066,0.046897,-0.029853,-0.00567,0.000731,0.000558,-0.000924,0.014687,-0.029579,-0.271245
175,0.026841,0.031979,-0.020006,0.013532,0.013763,0.002375,-0.404766,1.389067,0.946573,-0.79486,0.081041,0.046901,-0.02985,-0.005657,0.000799,0.000582,-0.000942,0.014683,-0.029583,-0.271898
176,0.027634,0.03261,-0.020005,0.026567,0.02035,-0.001709,-0.79909,0.887856,1.987035,-0.790614,0.08099,0.046906,-0.02984,-2.9e-05,-0.000167,-6.4e-05,3.7e-05,-1.8e-05,-3e-06,-0.272061
177,0.028505,0.033377,-0.020024,0.019688,0.019549,-0.001954,-0.752378,0.986676,0.783466,-0.797146,0.080951,0.046883,-0.029847,-0.00014,-0.000818,-0.000315,-5.8e-05,0.000244,-0.000482,-0.272224
178,0.029281,0.034068,-0.020198,0.019443,0.015308,-0.005711,-0.519441,1.522691,1.441602,-0.79486,0.080908,0.046837,-0.029864,-0.005977,-0.001025,-0.000124,-0.002549,0.02743,-0.058465,-0.272714
179,0.029594,0.034349,-0.020339,0.012558,0.012309,-0.007806,-1.123323,0.118228,3.61529,-0.797962,0.080872,0.046805,-0.029879,-0.006116,-0.001819,-0.00043,-0.002501,0.027324,-0.058267,-0.274021
180,0.030193,0.035032,-0.020798,0.012214,0.017261,-0.012229,-0.546693,1.73907,1.482146,-0.796166,0.080746,0.046713,-0.029925,-0.00063,-0.003611,-0.001398,-0.000515,0.001465,-0.002874,-0.279246
181,0.030595,0.035914,-0.021416,0.011402,0.028145,-0.020148,-0.81256,1.197595,1.110651,-0.790777,0.080526,0.046554,-0.029978,-0.006642,-0.00471,-0.001559,0.003436,-0.04763,0.116405,-0.287574
182,0.03073,0.036581,-0.021869,0.004454,0.034804,-0.022603,-5.457738,-0.124688,-0.055132,-0.785389,0.080369,0.04645,-0.030007,-0.012576,-0.005309,-0.001529,0.015966,-0.131246,0.30965,-0.293126
183,0.030776,0.038164,-0.022867,-0.003053,0.046094,-0.029237,-0.442416,1.91866,1.447351,-0.784409,0.079985,0.046188,-0.030099,-0.013015,-0.007542,-0.002419,0.018485,-0.187321,0.442221,-0.304229
184,0.030698,0.039868,-0.023971,-0.003063,0.044894,-0.030041,-0.58809,2.414186,1.613408,-0.785226,0.079493,0.045823,-0.030233,-0.01364,-0.010667,-0.003689,0.026808,-0.262954,0.616074,-0.306679
185,0.030576,0.041542,-0.025154,-0.003082,0.042599,-0.031848,-1.912497,1.094572,0.940076,-0.777714,0.078875,0.04537,-0.03042,-0.020108,-0.013429,-0.004584,0.017034,-0.158331,0.378855,-0.299167
186,0.030497,0.042337,-0.025792,-0.009634,0.040379,-0.033154,-0.62492,1.187065,0.575953,-0.777877,0.078533,0.045111,-0.030537,-0.020644,-0.015937,-0.005638,0.020092,-0.070388,0.165601,-0.290023
